0.4,0.1,13,44,59.375,31.25,35.49723606310716,9.6,71.69,65,12134420,118320,0.01185699924826622
0.4,0.2,13,32,59.375,50.0,53.02942747800299,9.08,71.66,101,9050132,86160,0.008205883204936981
0.4,0.3,13,24,59.375,62.5,64.71755508793353,9.5,68.79,66,6993940,64720,0.014103390276432037
0.4,0.4,13,16,59.375,75.0,76.40568269786408,8.91,66.86,63,4937748,43280,0.014465291053056717
0.4,0.5,13,7,59.375,89.0625,89.55482625903595,9.87,62.28,80,2624532,19160,0.01581096090376377
0.4,0.6,13,5,59.375,92.1875,92.47685816151858,9.97,57.76,68,2110484,13800,0.026261640712618828
0.4,0.7,13,3,59.375,95.3125,95.39889006400122,12.34,50.88,66,1596436,8440,0.015258898958563805
0.4,0.8,13,2,59.375,96.875,96.85990601524253,13.46,46.46,73,1339412,5760,0.019213372841477394
0.4,0.9,13,2,59.375,96.875,96.85990601524253,13.46,46.42,79,1339412,5760,0.013831594958901405
0.5,0.1,9,44,71.875,31.25,36.426180533597915,9.47,70.67,66,8636436,116616,0.013942443765699863
0.5,0.2,9,32,71.875,50.0,53.722864899636924,9.35,70.03,88,6436884,84888,0.00718575669452548
0.5,0.3,9,24,71.875,62.5,65.2539878103296,12.43,68.66,81,4970516,63736,0.01163415890187025
0.5,0.4,9,16,71.875,75.0,76.78511072102228,9.54,66.36,58,3504148,42584,0.018333345651626587
0.5,0.5,9,7,71.875,89.0625,89.75762399555154,13.06,62.95,148,1854484,18788,0.02392442338168621
0.5,0.6,9,5,71.875,92.1875,92.6404047232247,10.0,60.44,142,1487892,13500,0.025490377098321915
0.5,0.7,9,3,71.875,95.3125,95.52318545089787,10.0,47.71,64,1121300,8212,0.016053559258580208
0.5,0.8,9,2,71.875,96.875,96.96457581473446,10.0,43.06,48,938004,5568,0.012081015855073929
0.5,0.9,9,2,71.875,96.875,96.96457581473446,10.0,43.76,71,938004,5568,0.0149617874994874
0.6,0.1,8,44,75.0,31.25,36.658416651220605,9.36,69.11,49,7761940,116190,0.011135906912386417
0.6,0.2,8,32,75.0,50.0,53.89622425504541,9.22,69.08,58,5783572,84570,0.01755501888692379
0.6,0.3,8,24,75.0,62.5,65.38809599092862,12.57,68.32,77,4464660,63490,0.01348679419606924
0.6,0.4,8,16,75.0,75.0,76.87996772681183,9.51,66.36,64,3145748,42410,0.02067697048187256
0.6,0.5,8,7,75.0,89.0625,89.80832342968043,12.49,61.47,87,1661972,18695,0.02131948247551918
0.6,0.6,8,5,75.0,92.1875,92.68129136365123,10.0,56.74,93,1332244,13425,0.013653977774083614
0.6,0.7,8,3,75.0,95.3125,95.55425929762204,10.06,50.05,117,1002516,8155,0.01662491448223591
0.6,0.8,8,2,75.0,96.875,96.99074326460743,10.03,44.28,92,837652,5520,0.011259703896939754
0.6,0.9,8,2,75.0,96.875,96.99074326460743,10.03,43.99,77,837652,5520,0.024213330820202827
0.7,0.1,7,44,78.125,31.25,36.89065276884329,9.92,71.0,104,6887444,115764,0.013544635847210884
